,Province_State,Country_Region,Lat,Long,Date,Confirmed,Recovered,Deaths,geometry
0,,Afghanistan,33.0,65.0,1/22/20,0,0.0,0,POINT (65 33)
1,,Albania,41.1533,20.1683,1/22/20,0,0.0,0,POINT (20.1683 41.1533)
2,,Algeria,28.0339,1.6596,1/22/20,0,0.0,0,POINT (1.6596 28.0339)
3,,Andorra,42.5063,1.5218,1/22/20,0,0.0,0,POINT (1.5218 42.5063)
4,,Angola,-11.2027,17.8739,1/22/20,0,0.0,0,POINT (17.8739 -11.2027)
5,,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0.0,0,POINT (-61.7964 17.0608)
6,,Argentina,-38.4161,-63.6167,1/22/20,0,0.0,0,POINT (-63.6167 -38.4161)
7,,Armenia,40.0691,45.0382,1/22/20,0,0.0,0,POINT (45.0382 40.0691)
8,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0.0,0,POINT (149.0124 -35.4735)
9,New South Wales,Australia,-33.8688,151.2093,1/22/20,0,0.0,0,POINT (151.2093 -33.8688)
10,Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0.0,0,POINT (130.8456 -12.4634)
11,Queensland,Australia,-28.0167,153.4,1/22/20,0,0.0,0,POINT (153.4 -28.0167)
12,South Australia,Australia,-34.9285,138.6007,1/22/20,0,0.0,0,POINT (138.6007 -34.9285)
13,Tasmania,Australia,-41.4545,145.9707,1/22/20,0,0.0,0,POINT (145.9707 -41.4545)
14,Victoria,Australia,-37.8136,144.9631,1/22/20,0,0.0,0,POINT (144.9631 -37.8136)
15,Western Australia,Australia,-31.9505,115.8605,1/22/20,0,0.0,0,POINT (115.8605 -31.9505)
16,,Austria,47.5162,14.5501,1/22/20,0,0.0,0,POINT (14.5501 47.5162)
17,,Azerbaijan,40.1431,47.5769,1/22/20,0,0.0,0,POINT (47.5769 40.1431)
18,,Bahamas,25.0343,-77.3963,1/22/20,0,0.0,0,POINT (-77.3963 25.0343)
19,,Bahrain,26.0275,50.55,1/22/20,0,0.0,0,POINT (50.55 26.0275)
20,,Bangladesh,23.685,90.3563,1/22/20,0,0.0,0,POINT (90.3563 23.685)
21,,Barbados,13.1939,-59.5432,1/22/20,0,0.0,0,POINT (-59.5432 13.1939)
22,,Belarus,53.7098,27.9534,1/22/20,0,0.0,0,POINT (27.9534 53.7098)
23,,Belgium,50.8333,4.0,1/22/20,0,0.0,0,POINT (4 50.8333)
24,,Benin,9.3077,2.3158,1/22/20,0,0.0,0,POINT (2.3158 9.307700000000001)
25,,Bhutan,27.5142,90.4336,1/22/20,0,0.0,0,POINT (90.4336 27.5142)
26,,Bolivia,-16.2902,-63.5887,1/22/20,0,0.0,0,POINT (-63.5887 -16.2902)
27,,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0.0,0,POINT (17.6791 43.9159)
28,,Brazil,-14.235,-51.9253,1/22/20,0,0.0,0,POINT (-51.9253 -14.235)
29,,Brunei,4.5353,114.7277,1/22/20,0,0.0,0,POINT (114.7277 4.5353)
30,,Bulgaria,42.7339,25.4858,1/22/20,0,0.0,0,POINT (25.4858 42.7339)
31,,Burkina Faso,12.2383,-1.5616,1/22/20,0,0.0,0,POINT (-1.5616 12.2383)
32,,Cabo Verde,16.5388,-23.0418,1/22/20,0,0.0,0,POINT (-23.0418 16.5388)
