cases_dates,Confirmed,Recovered,Deaths
2020-01-22,555,28.0,17
2020-01-23,654,30.0,18
2020-01-24,941,38.0,26
2020-01-25,1434,83.0,42
2020-01-26,2118,63.0,56
2020-01-27,2927,105.0,82
2020-01-28,5578,126.0,131
2020-01-29,6166,143.0,133
2020-01-30,8234,222.0,171
2020-01-31,9927,284.0,213
2020-02-01,12038,472.0,259
2020-02-02,16787,623.0,362
2020-02-03,19881,852.0,426
2020-02-04,23892,1124.0,492
2020-02-05,27635,1492.0,564
2020-02-06,30794,2011.0,634
2020-02-07,34391,2617.0,719
2020-02-08,37120,3244.0,806
2020-02-09,40150,3948.0,906
2020-02-10,42762,4683.0,1013
2020-02-11,44802,5608.0,1113
2020-02-12,45221,12846.0,1118
2020-02-13,60368,10355.0,1371
2020-02-14,66885,10852.0,1523
2020-02-15,69030,12576.0,1666
2020-02-16,71224,14343.0,1770
2020-02-17,73258,16112.0,1868
2020-02-18,75136,18207.0,2007
2020-02-19,75639,18891.0,2122
2020-02-20,76197,22887.0,2247
2020-02-21,76819,23379.0,2251
2020-02-22,78572,25275.0,2458
2020-02-23,78958,27931.0,2469
2020-02-24,79561,30402.0,2629
2020-02-25,80406,33293.0,2708
2020-02-26,81388,36711.0,2770
2020-02-27,82746,39793.0,2814
2020-02-28,84112,42717.0,2872
2020-02-29,86011,49086.0,2941
2020-03-01,88369,91690.0,2996
2020-03-02,90306,56533.0,3085
2020-03-03,92840,55493.0,3160
2020-03-04,95120,57464.0,3254
2020-03-05,97886,60237.0,3348
2020-03-06,101801,65249.0,3460
2020-03-07,105847,64577.0,3558
2020-03-08,109821,66851.0,3802
2020-03-09,113590,68328.0,3988
2020-03-10,118620,70252.0,4262
2020-03-11,125875,72917.0,4615
2020-03-12,128352,76088.0,4720
2020-03-13,145205,78158.0,5404
2020-03-14,156101,80840.0,5819
2020-03-15,167454,83350.0,6440
2020-03-16,181574,85124.0,7126
2020-03-17,197102,87750.0,7905
2020-03-18,214821,96842.0,8733
2020-03-19,242570,163092.0,9867
2020-03-20,272208,101835.0,11299
2020-03-21,304507,109496.0,12973
2020-03-22,336953,114556.0,14651
2020-03-23,378235,135661.0,16505
2020-03-24,418045,158726.0,18625
2020-03-25,467653,149827.0,21181
2020-03-26,529591,158869.0,23970
2020-03-27,593291,173870.0,27198
2020-03-28,660693,187877.0,30652
2020-03-29,720140,235632.0,33925
2020-03-30,782389,226163.0,37582
2020-03-31,857487,256300.0,42107
2020-04-01,932605,260028.0,46809
2020-04-02,1013466,277462.0,52983
2020-04-03,1095917,310994.0,58787
2020-04-04,1197408,337695.0,64606
2020-04-05,1272115,333054.0,69374
2020-04-06,1345101,0.0,74565
2020-04-07,1426096,0.0,81865
2020-04-08,1511104,0.0,88338
2020-04-09,1595350,0.0,95455
